question,correct_answers,question_type
Convert 8.40x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,90.4;0.2,numerical_tolerance
A square has an area of 2.50x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,2.69;0.02,numerical_tolerance
Convert 4.46x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,6.91e4;200,numerical_tolerance
A square has an area of 5.15x10<sup>5</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,7.98e4;200,numerical_tolerance
"Rewrite 4.9x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",7.6e4;2000,numerical_tolerance
Convert the following to mi<sup>2</sup>: 1.41x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,5.44;0.02,numerical_tolerance
Convert the following to mi<sup>2</sup>: 1.55x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,5.98;0.02,numerical_tolerance
A square has an area of 2.05x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.792;0.002,numerical_tolerance
"Rewrite 6.98x10<sup>7</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",27.0;0.2,numerical_tolerance
A square has an area of 6.4x10<sup>5</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,9.9e4;2000,numerical_tolerance
A square has an area of 8.77x10<sup>6</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,94.4;0.2,numerical_tolerance
Convert 8.02x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,3.10;0.02,numerical_tolerance
"Rewrite 2.5x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",3.9e4;2000,numerical_tolerance
"Rewrite 3.6x10<sup>6</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",39;2,numerical_tolerance
A square has an area of 3.11x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,12.0;0.2,numerical_tolerance
A square has an area of 1.38x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.0533;0.0002,numerical_tolerance
A square has an area of 2.73x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,2.94;0.02,numerical_tolerance
A square has an area of 5.8x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,22;2,numerical_tolerance
"Rewrite 7.52x10<sup>5</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",8.09;0.02,numerical_tolerance
A square has an area of 6.60x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.255;0.002,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.3x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,140;20,numerical_tolerance
A square has an area of 2.7x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.10;0.02,numerical_tolerance
A square has an area of 7.94x10<sup>7</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,1.23e7;200000,numerical_tolerance
Convert the following to mi<sup>2</sup>: 5.75x10<sup>6</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,2.22;0.02,numerical_tolerance
Convert 6.3x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,2.4;0.2,numerical_tolerance
"Rewrite 2.85x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",4.42e4;200,numerical_tolerance
"Rewrite 1.1x10<sup>6</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",0.42;0.02,numerical_tolerance
A square has an area of 4.56x10<sup>6</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,49.1;0.2,numerical_tolerance
"Rewrite 6.50x10<sup>6</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",70.0;0.2,numerical_tolerance
Convert 7.3x10<sup>5</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.28;0.02,numerical_tolerance
"Rewrite 7.43x10<sup>6</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",1.15e6;20000,numerical_tolerance
A square has an area of 2.6x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,2.8;0.2,numerical_tolerance
Convert the following to ft<sup>2</sup>: 3.54x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,38.1;0.2,numerical_tolerance
A square has an area of 3.8x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,5.9e5;20000,numerical_tolerance
A square has an area of 1.33x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,5.14;0.02,numerical_tolerance
Convert the following to ft<sup>2</sup>: 5.62x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,605;2,numerical_tolerance
A square has an area of 5.2x10<sup>6</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,56;2,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.7x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,180;20,numerical_tolerance
"Rewrite 1.88x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",2.91e4;200,numerical_tolerance
Convert 1.41x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.544;0.002,numerical_tolerance
"Rewrite 1.35x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",145;2,numerical_tolerance
Convert 7.41x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.15e6;20000,numerical_tolerance
A square has an area of 1.9x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.73;0.02,numerical_tolerance
Convert 2.5x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,3.9e5;20000,numerical_tolerance
A square has an area of 2.18x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.0842;0.0002,numerical_tolerance
"Rewrite 1.18x10<sup>6</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",12.7;0.2,numerical_tolerance
Convert the following to in<sup>2</sup>: 8.4x10<sup>6</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,1.3e6;200000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 2.7x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,29;2,numerical_tolerance
Convert 5.35x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,57.6;0.2,numerical_tolerance
A square has an area of 1.13x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.0436;0.0002,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.1x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,1.2;0.2,numerical_tolerance
A square has an area of 1.3x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,140;20,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.12x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,1.21;0.02,numerical_tolerance
"Rewrite 1.61x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",2.50e6;20000,numerical_tolerance
A square has an area of 6.0x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,9.3e5;20000,numerical_tolerance
Convert 7.04x10<sup>5</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,7.58;0.02,numerical_tolerance
Convert the following to mi<sup>2</sup>: 3.40x10<sup>6</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,1.31;0.02,numerical_tolerance
"Rewrite 5.7x10<sup>7</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",22;2,numerical_tolerance
Convert 7.6x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,2.9;0.2,numerical_tolerance
"Rewrite 2.2x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",3.4e6;200000,numerical_tolerance
Convert the following to in<sup>2</sup>: 4.51x10<sup>7</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,6.99e6;20000,numerical_tolerance
Convert the following to in<sup>2</sup>: 3.7x10<sup>7</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,5.7e6;200000,numerical_tolerance
A square has an area of 1.2x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,1.3;0.2,numerical_tolerance
A square has an area of 3.5x10<sup>6</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,38;2,numerical_tolerance
A square has an area of 1.7x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,180;20,numerical_tolerance
Convert the following to ft<sup>2</sup>: 2.3x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,250;20,numerical_tolerance
Convert 4.8x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,7.4e4;2000,numerical_tolerance
Convert 8.5x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,91;2,numerical_tolerance
A square has an area of 1.11x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,1.72e5;2000,numerical_tolerance
A square has an area of 4.63x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,498;2,numerical_tolerance
"Rewrite 8.9x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",960;20,numerical_tolerance
Convert 1.9x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,7.3;0.2,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.3x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,14;2,numerical_tolerance
Convert 1.18x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,12.7;0.2,numerical_tolerance
Convert the following to mi<sup>2</sup>: 4.03x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,15.6;0.2,numerical_tolerance
A square has an area of 1.65x10<sup>5</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,2.56e4;200,numerical_tolerance
"Rewrite 1.5x10<sup>5</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",1.6;0.2,numerical_tolerance
A square has an area of 6.0x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,2.3;0.2,numerical_tolerance
Convert 1.02x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.58e4;200,numerical_tolerance
Convert the following to ft<sup>2</sup>: 9.84x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,10.6;0.2,numerical_tolerance
A square has an area of 2.2x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,3.4e5;20000,numerical_tolerance
A square has an area of 1.67x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,6.45;0.02,numerical_tolerance
A square has an area of 3.9x10<sup>6</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,42;2,numerical_tolerance
Convert the following to in<sup>2</sup>: 1.5x10<sup>5</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,2.3e4;2000,numerical_tolerance
Convert 6.12x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,2.36;0.02,numerical_tolerance
Convert the following to in<sup>2</sup>: 6.01x10<sup>6</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,9.32e5;2000,numerical_tolerance
"Rewrite 6.92x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",745;2,numerical_tolerance
Convert the following to in<sup>2</sup>: 8.18x10<sup>7</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,1.27e7;200000,numerical_tolerance
Convert 1.5x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,16;2,numerical_tolerance
Convert 7.4x10<sup>5</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.29;0.02,numerical_tolerance
Convert 2.9x10<sup>7</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,4.5e6;200000,numerical_tolerance
A square has an area of 2.3x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.089;0.002,numerical_tolerance
"Rewrite 5.58x10<sup>6</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",60.1;0.2,numerical_tolerance
Convert 6.06x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,65.2;0.2,numerical_tolerance
A square has an area of 4.03x10<sup>5</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.156;0.002,numerical_tolerance
A square has an area of 3.93x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,15.2;0.2,numerical_tolerance
Convert 5.84x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,9.05e4;200,numerical_tolerance
Convert 1.3x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.50;0.02,numerical_tolerance
Convert 3.72x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,5.77e5;2000,numerical_tolerance
A square has an area of 1.72x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,1.85;0.02,numerical_tolerance
A square has an area of 1.67x10<sup>7</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,2.59e6;20000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 3.2x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,34;2,numerical_tolerance
"Rewrite 9.04x10<sup>6</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",3.49;0.02,numerical_tolerance
Convert 1.1x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,4.2;0.2,numerical_tolerance
Convert 1.27x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.490;0.002,numerical_tolerance
"Rewrite 2.1x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",3.3e6;200000,numerical_tolerance
A square has an area of 6.68x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,1.04e6;20000,numerical_tolerance
A square has an area of 2.8x10<sup>7</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,11;2,numerical_tolerance
Convert 5.55x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,8.60e5;2000,numerical_tolerance
"Rewrite 2.1x10<sup>5</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",0.081;0.002,numerical_tolerance
A square has an area of 3.84x10<sup>7</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,5.95e6;20000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 2.2x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,240;20,numerical_tolerance
"Rewrite 4.3x10<sup>6</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",6.7e5;20000,numerical_tolerance
"Rewrite 8.16x10<sup>5</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",0.315;0.002,numerical_tolerance
Convert the following to in<sup>2</sup>: 2.1x10<sup>7</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,3.3e6;200000,numerical_tolerance
"Rewrite 3.1x10<sup>5</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",3.3;0.2,numerical_tolerance
A square has an area of 4.2x10<sup>5</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,6.5e4;2000,numerical_tolerance
"Rewrite 1.9x10<sup>6</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",2.9e5;20000,numerical_tolerance
"Rewrite 4.52x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",7.01e6;20000,numerical_tolerance
Convert 4.38x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,1.69;0.02,numerical_tolerance
Convert 1.7x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,18;2,numerical_tolerance
"Rewrite 2.1x10<sup>6</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",3.3e5;20000,numerical_tolerance
Convert 4.70x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,7.29e4;200,numerical_tolerance
Convert 7.8x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,30.;2,numerical_tolerance
Convert the following to in<sup>2</sup>: 1.68x10<sup>6</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,2.60e5;2000,numerical_tolerance
Convert 1.18x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,4.56;0.02,numerical_tolerance
"Rewrite 6.4x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",690;20,numerical_tolerance
Convert 2.02x10<sup>7</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,217;2,numerical_tolerance
"Rewrite 3.9x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",6.0e4;2000,numerical_tolerance
"Rewrite 1.15x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",124;2,numerical_tolerance
"Rewrite 3.4x10<sup>6</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",1.3;0.2,numerical_tolerance
Convert 9.2x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.4e6;200000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 6.49x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,69.9;0.2,numerical_tolerance
Convert the following to mi<sup>2</sup>: 9.0x10<sup>6</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,3.5;0.2,numerical_tolerance
Convert the following to mi<sup>2</sup>: 6.2x10<sup>6</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,2.4;0.2,numerical_tolerance
A square has an area of 1.25x10<sup>6</sup> cm<sup>2</sup>. There are 2.54 cm in one in. What is the area of the square in in<sup>2</sup>?,1.94e5;2000,numerical_tolerance
