question,correct_answers,question_type
Convert 0.00303 J to mcal. There are 4.184 J in one cal.,0.72419;0.0036209,numerical_tolerance
Convert 1.43 Mmi to Mft. There are 5280 ft in one mi.,7550.4;37.752,numerical_tolerance
Convert 0.0433 lb to noz. There are 16 oz in one lb.,6.928e+08;3.464e+06,numerical_tolerance
Convert 87.10 L to cgal. There are 3.7854 L in one gal.,2300.9;11.505,numerical_tolerance
Convert 0.01154 day to µs. There are 8.64e4 s in one day.,9.9706e+08;4.9853e+06,numerical_tolerance
Convert 10.86 mi to Mm. There are 1609.3 m in one mi.,0.017477;8.7387e-05,numerical_tolerance
Convert 2.91 hr to cmin. There are 60 min in one hr.,17460;87.3,numerical_tolerance
Convert 3.553 gal to nL. There are 3.7854 L in one gal.,1.345e+10;6.7248e+07,numerical_tolerance
Convert 939.45 Goz to clb. There are 16 oz in one lb.,5.8716e+12;2.9358e+10,numerical_tolerance
Convert 23.91 µpsi to mmmHg. There are 51.715 mmHg in one psi.,1.2365;0.0061825,numerical_tolerance
Convert 0.003732 mi to kft. There are 5280 ft in one mi.,0.019705;9.8525e-05,numerical_tolerance
Convert 1.955 hr to ks. There are 3600 s in one hr.,7.038;0.03519,numerical_tolerance
Convert 0.15710 Gcal to nJ. There are 4.184 J in one cal.,6.5731e+17;3.2865e+15,numerical_tolerance
Convert 0.58827 L to mgal. There are 3.7854 L in one gal.,155.4;0.77702,numerical_tolerance
Convert 13.42 ft to nmi. There are 5280 ft in one mi.,2.5417e+06;12708,numerical_tolerance
Convert 0.0898 lb to ng. There are 453.59 g in one lb.,4.0733e+10;2.0366e+08,numerical_tolerance
Convert 0.0011196 gal to µL. There are 3.7854 L in one gal.,4238.1;21.191,numerical_tolerance
Convert 0.00529 gal to nL. There are 3.7854 L in one gal.,2.0025e+07;1.0012e+05,numerical_tolerance
Convert 0.01820 J to ccal. There are 4.184 J in one cal.,0.43499;0.002175,numerical_tolerance
Convert 16.8 kJ to mcal. There are 4.184 J in one cal.,4.0153e+06;20076,numerical_tolerance
Convert 0.024463 bar to nmmHg. There are 750.06 mmHg in one bar.,1.8349e+10;9.1744e+07,numerical_tolerance
Convert 0.141 mi to nm. There are 1609.3 m in one mi.,2.2692e+11;1.1346e+09,numerical_tolerance
Convert 614.9 bar to nTorr. There are 750.06 Torr in one bar.,4.6121e+14;2.3061e+12,numerical_tolerance
Convert 0.0097001 cal to cJ. There are 4.184 J in one cal.,4.0585;0.020293,numerical_tolerance
Convert 0.22986 mmHg to cTorr. There are 1 mmHg in one Torr.,22.986;0.11493,numerical_tolerance
Convert 26.08 psi to µmmHg. There are 51.715 mmHg in one psi.,1.3487e+09;6.7436e+06,numerical_tolerance
Convert 2.34 m to µmi. There are 1609.3 m in one mi.,1454;7.2701,numerical_tolerance
Convert 931.86 day to Mmin. There are 1440 min in one day.,1.3419;0.0067094,numerical_tolerance
Convert 35.42 Mmi to kft. There are 5280 ft in one mi.,1.8702e+08;9.3509e+05,numerical_tolerance
Convert 0.21797 mi to km. There are 1609.3 m in one mi.,0.35079;0.0017539,numerical_tolerance
Convert 3.5569 gal to kL. There are 3.7854 L in one gal.,0.013464;6.7322e-05,numerical_tolerance
Convert 551.9 L to ngal. There are 3.7854 L in one gal.,1.458e+11;7.2898e+08,numerical_tolerance
Convert 64.53 J to mcal. There are 4.184 J in one cal.,15423;77.115,numerical_tolerance
Convert 0.5581 J to ccal. There are 4.184 J in one cal.,13.339;0.066695,numerical_tolerance
Convert 2.0401 Gft to kmi. There are 5280 ft in one mi.,386.38;1.9319,numerical_tolerance
Convert 0.0054291 Gg to mlb. There are 453.59 g in one lb.,1.1969e+07;59846,numerical_tolerance
Convert 785.3 Mgal to nL. There are 3.7854 L in one gal.,2.9727e+18;1.4863e+16,numerical_tolerance
Convert 195.4 s to cday. There are 8.64e4 s in one day.,0.22616;0.0011308,numerical_tolerance
Convert 562.45 gal to µL. There are 3.7854 L in one gal.,2.1291e+09;1.0646e+07,numerical_tolerance
Convert 0.38828 cal to mJ. There are 4.184 J in one cal.,1624.6;8.1228,numerical_tolerance
Convert 1.8416 min to ms. There are 60 s in one min.,1.105e+05;552.48,numerical_tolerance
Convert 0.00892 mmHg to cPa. There are 133.32 Pa in one mmHg.,118.92;0.59462,numerical_tolerance
Convert 11.122 lb to koz. There are 16 oz in one lb.,0.17795;0.00088976,numerical_tolerance
Convert 20.29 m to µmi. There are 1609.3 m in one mi.,12608;63.038,numerical_tolerance
Convert 0.03717 Gg to Moz. There are 28.349 g in one oz.,1.3111;0.0065557,numerical_tolerance
Convert 223.5 L to kgal. There are 3.7854 L in one gal.,0.059042;0.00029521,numerical_tolerance
Convert 11.61 kgal to cL. There are 3.7854 L in one gal.,4.3949e+06;21974,numerical_tolerance
Convert 7.6407 m to kft. There are 3.2808 ft in one m.,0.025068;0.00012534,numerical_tolerance
Convert 440. koz to Mg. There are 28.349 g in one oz.,12.474;0.062369,numerical_tolerance
Convert 5.7391 gal to nL. There are 3.7854 L in one gal.,2.1725e+10;1.0862e+08,numerical_tolerance
Convert 0.0385 mcal to cJ. There are 4.184 J in one cal.,0.016108;8.0542e-05,numerical_tolerance
Convert 11.173 ft to cm. There are 3.2808 ft in one m.,340.55;1.7028,numerical_tolerance
Convert 0.46670 g to clb. There are 453.59 g in one lb.,0.10289;0.00051445,numerical_tolerance
Convert 0.3403 mmi to nft. There are 5280 ft in one mi.,1.7968e+09;8.9839e+06,numerical_tolerance
Convert 0.006720 J to µcal. There are 4.184 J in one cal.,1606.1;8.0306,numerical_tolerance
Convert 0.1572 m to nmi. There are 1609.3 m in one mi.,97680;488.4,numerical_tolerance
Convert 12.8 mi to µft. There are 5280 ft in one mi.,6.7584e+10;3.3792e+08,numerical_tolerance
Convert 312 gal to kL. There are 3.7854 L in one gal.,1.181;0.0059052,numerical_tolerance
Convert 904.8 Mmin to Ms. There are 60 s in one min.,54288;271.44,numerical_tolerance
Convert 183 gal to nL. There are 3.7854 L in one gal.,6.9273e+11;3.4637e+09,numerical_tolerance
Convert 0.05024 oz to mlb. There are 16 oz in one lb.,3.14;0.0157,numerical_tolerance
Convert 2.60 day to ns. There are 8.64e4 s in one day.,2.2464e+14;1.1232e+12,numerical_tolerance
Convert 7.0841 s to µmin. There are 60 s in one min.,1.1807e+05;590.34,numerical_tolerance
Convert 0.00117 lb to moz. There are 16 oz in one lb.,18.72;0.0936,numerical_tolerance
Convert 32.90 ft to km. There are 3.2808 ft in one m.,0.010028;5.014e-05,numerical_tolerance
Convert 0.01193 oz to mlb. There are 16 oz in one lb.,0.74562;0.0037281,numerical_tolerance
Convert 1.031 Mgal to kL. There are 3.7854 L in one gal.,3902.8;19.514,numerical_tolerance
Convert 7.53 g to clb. There are 453.59 g in one lb.,1.6601;0.0083004,numerical_tolerance
Convert 240.28 µgal to nL. There are 3.7854 L in one gal.,9.0956e+05;4547.8,numerical_tolerance
Convert 0.0018875 gal to nL. There are 3.7854 L in one gal.,7.145e+06;35725,numerical_tolerance
Convert 6.792 mmHg to µPa. There are 133.32 Pa in one mmHg.,9.0552e+08;4.5276e+06,numerical_tolerance
Convert 7.941 Gday to Ms. There are 8.64e4 s in one day.,6.861e+08;3.4305e+06,numerical_tolerance
Convert 0.0098698 GJ to µcal. There are 4.184 J in one cal.,2.3589e+12;1.1795e+10,numerical_tolerance
Convert 6.1934 L to mgal. There are 3.7854 L in one gal.,1636.1;8.1806,numerical_tolerance
Convert 0.02557 cal to nJ. There are 4.184 J in one cal.,1.0698e+08;5.3492e+05,numerical_tolerance
Convert 0.474 J to ccal. There are 4.184 J in one cal.,11.329;0.056644,numerical_tolerance
Convert 31.40 Torr to catm. There are 760 Torr in one atm.,4.1316;0.020658,numerical_tolerance
Convert 230. clb to coz. There are 16 oz in one lb.,3680;18.4,numerical_tolerance
Convert 0.0828 bar to cpsi. There are 14.504 psi in one bar.,120.09;0.60046,numerical_tolerance
Convert 0.01300 hr to cs. There are 3600 s in one hr.,4680;23.4,numerical_tolerance
Convert 0.01161 lb to mg. There are 453.59 g in one lb.,5266.2;26.331,numerical_tolerance
Convert 16.4 Gg to koz. There are 28.349 g in one oz.,5.7849e+05;2892.5,numerical_tolerance
Convert 0.006965 cal to µJ. There are 4.184 J in one cal.,29142;145.71,numerical_tolerance
Convert 27.5 m to cmi. There are 1609.3 m in one mi.,1.7088;0.0085439,numerical_tolerance
Convert 6.66 GJ to Mcal. There are 4.184 J in one cal.,1591.8;7.9589,numerical_tolerance
Convert 65.39 gal to cL. There are 3.7854 L in one gal.,24753;123.76,numerical_tolerance
Convert 2.81 lb to µg. There are 453.59 g in one lb.,1.2746e+09;6.373e+06,numerical_tolerance
Convert 0.0018549 gal to mL. There are 3.7854 L in one gal.,7.0216;0.035108,numerical_tolerance
Convert 0.010103 g to µlb. There are 453.59 g in one lb.,22.273;0.11137,numerical_tolerance
Convert 0.0139 bar to matm. There are 1.0132 bar in one atm.,13.718;0.068591,numerical_tolerance
Convert 0.27290 cal to cJ. There are 4.184 J in one cal.,114.18;0.57091,numerical_tolerance
Convert 93.5 mi to nft. There are 5280 ft in one mi.,4.9368e+14;2.4684e+12,numerical_tolerance
Convert 0.037720 cal to µJ. There are 4.184 J in one cal.,1.5782e+05;789.1,numerical_tolerance
Convert 40.914 lb to noz. There are 16 oz in one lb.,6.5462e+11;3.2731e+09,numerical_tolerance
Convert 0.02762 gal to µL. There are 3.7854 L in one gal.,1.0455e+05;522.77,numerical_tolerance
Convert 25.57 Matm to µbar. There are 1.0132 bar in one atm.,2.5909e+13;1.2954e+11,numerical_tolerance
Convert 118 g to nlb. There are 453.59 g in one lb.,2.6015e+08;1.3007e+06,numerical_tolerance
Convert 0.0783 nft to nm. There are 3.2808 ft in one m.,0.023866;0.00011933,numerical_tolerance
Convert 0.0320 s to µday. There are 8.64e4 s in one day.,0.37037;0.0018519,numerical_tolerance
Convert 0.0024418 hr to cs. There are 3600 s in one hr.,879.05;4.3952,numerical_tolerance
Convert 7.4028 cal to µJ. There are 4.184 J in one cal.,3.0973e+07;1.5487e+05,numerical_tolerance
Convert 2.56 J to ncal. There are 4.184 J in one cal.,6.1185e+08;3.0593e+06,numerical_tolerance
Convert 879.6 hr to nmin. There are 60 min in one hr.,5.2776e+13;2.6388e+11,numerical_tolerance
Convert 0.0927 cal to cJ. There are 4.184 J in one cal.,38.786;0.19393,numerical_tolerance
Convert 0.0011054 J to mcal. There are 4.184 J in one cal.,0.2642;0.001321,numerical_tolerance
Convert 0.075183 Mday to chr. There are 24 hr in one day.,1.8044e+08;9.022e+05,numerical_tolerance
Convert 0.4122 ft to µmi. There are 5280 ft in one mi.,78.068;0.39034,numerical_tolerance
Convert 107.3 m to mmi. There are 1609.3 m in one mi.,66.673;0.33337,numerical_tolerance
Convert 19.0 day to µhr. There are 24 hr in one day.,4.56e+08;2.28e+06,numerical_tolerance
Convert 3.30 L to ngal. There are 3.7854 L in one gal.,8.7177e+08;4.3588e+06,numerical_tolerance
Convert 6.0652 day to kmin. There are 1440 min in one day.,8.7339;0.043669,numerical_tolerance
Convert 16.11 J to µcal. There are 4.184 J in one cal.,3.8504e+06;19252,numerical_tolerance
Convert 0.042611 Moz to nlb. There are 16 oz in one lb.,2.6632e+12;1.3316e+10,numerical_tolerance
Convert 0.22877 lb to kg. There are 453.59 g in one lb.,0.10377;0.00051884,numerical_tolerance
Convert 469 gal to cL. There are 3.7854 L in one gal.,1.7754e+05;887.68,numerical_tolerance
Convert 0.0098046 atm to cpsi. There are 14.696 psi in one atm.,14.409;0.072044,numerical_tolerance
Convert 18.3 psi to µatm. There are 14.696 psi in one atm.,1.2452e+06;6226.2,numerical_tolerance
Convert 0.007546 cal to nJ. There are 4.184 J in one cal.,3.1572e+07;1.5786e+05,numerical_tolerance
Convert 0.012521 lb to cg. There are 453.59 g in one lb.,567.94;2.8397,numerical_tolerance
Convert 0.006005 min to µs. There are 60 s in one min.,3.603e+05;1801.5,numerical_tolerance
Convert 1.10 J to µcal. There are 4.184 J in one cal.,2.6291e+05;1314.5,numerical_tolerance
Convert 289.0 ft to mmi. There are 5280 ft in one mi.,54.735;0.27367,numerical_tolerance
Convert 66.625 mi to kft. There are 5280 ft in one mi.,351.78;1.7589,numerical_tolerance
Convert 0.0132 gal to nL. There are 3.7854 L in one gal.,4.9967e+07;2.4984e+05,numerical_tolerance
Convert 0.1465 s to µhr. There are 3600 s in one hr.,40.694;0.20347,numerical_tolerance
Convert 361 µlb to noz. There are 16 oz in one lb.,5.776e+06;28880,numerical_tolerance
Convert 0.00535 lb to mg. There are 453.59 g in one lb.,2426.7;12.134,numerical_tolerance
Convert 264.6 cal to µJ. There are 4.184 J in one cal.,1.1071e+09;5.5354e+06,numerical_tolerance
Convert 919.64 oz to µg. There are 28.349 g in one oz.,2.6071e+10;1.3036e+08,numerical_tolerance
Convert 0.044006 L to µgal. There are 3.7854 L in one gal.,11625;58.126,numerical_tolerance
Convert 0.1352 gal to nL. There are 3.7854 L in one gal.,5.1179e+08;2.5589e+06,numerical_tolerance
Convert 396 J to mcal. There are 4.184 J in one cal.,94646;473.23,numerical_tolerance
Convert 18.004 gal to cL. There are 3.7854 L in one gal.,6815.3;34.076,numerical_tolerance
Convert 0.218 bar to kmmHg. There are 750.06 mmHg in one bar.,0.16351;0.00081757,numerical_tolerance
Convert 0.004946 mmin to ms. There are 60 s in one min.,0.29676;0.0014838,numerical_tolerance
Convert 0.35113 L to mgal. There are 3.7854 L in one gal.,92.759;0.46379,numerical_tolerance
Convert 0.70338 J to µcal. There are 4.184 J in one cal.,1.6811e+05;840.56,numerical_tolerance
Convert 0.00919 L to mgal. There are 3.7854 L in one gal.,2.4277;0.012139,numerical_tolerance
Convert 57.121 cal to cJ. There are 4.184 J in one cal.,23899;119.5,numerical_tolerance
Convert 33.536 s to cday. There are 8.64e4 s in one day.,0.038815;0.00019407,numerical_tolerance
Convert 0.001664 cal to µJ. There are 4.184 J in one cal.,6962.2;34.811,numerical_tolerance
Convert 0.00239 atm to nmmHg. There are 760 mmHg in one atm.,1.8164e+09;9.082e+06,numerical_tolerance
Convert 159 hr to mmin. There are 60 min in one hr.,9.54e+06;47700,numerical_tolerance
Convert 15.5 ft to nm. There are 3.2808 ft in one m.,4.7244e+09;2.3622e+07,numerical_tolerance
Convert 0.0180 g to noz. There are 28.349 g in one oz.,6.3493e+05;3174.7,numerical_tolerance
Convert 0.0837 mi to kft. There are 5280 ft in one mi.,0.44193;0.0022097,numerical_tolerance
Convert 0.16946 atm to mmmHg. There are 760 mmHg in one atm.,1.2879e+05;643.95,numerical_tolerance
Convert 13.632 cal to cJ. There are 4.184 J in one cal.,5703.6;28.518,numerical_tolerance
Convert 104.37 Mmin to mday. There are 1440 min in one day.,7.2479e+07;3.624e+05,numerical_tolerance
Convert 0.19567 oz to µlb. There are 16 oz in one lb.,12229;61.147,numerical_tolerance
Convert 0.12393 day to cmin. There are 1440 min in one day.,17846;89.23,numerical_tolerance
Convert 152.84 s to µmin. There are 60 s in one min.,2.5473e+06;12737,numerical_tolerance
Convert 64.6 ft to nm. There are 3.2808 ft in one m.,1.969e+10;9.845e+07,numerical_tolerance
Convert 69.48 lb to coz. There are 16 oz in one lb.,1.1117e+05;555.84,numerical_tolerance
Convert 608 Gm to kft. There are 3.2808 ft in one m.,1.9948e+09;9.9738e+06,numerical_tolerance
Convert 231.10 cal to nJ. There are 4.184 J in one cal.,9.6692e+11;4.8346e+09,numerical_tolerance
Convert 30.129 kg to µoz. There are 28.349 g in one oz.,1.0628e+09;5.3139e+06,numerical_tolerance
Convert 602.49 Mgal to cL. There are 3.7854 L in one gal.,2.2807e+11;1.1403e+09,numerical_tolerance
Convert 0.073323 oz to µg. There are 28.349 g in one oz.,2.0787e+06;10393,numerical_tolerance
Convert 0.02165 mi to mm. There are 1609.3 m in one mi.,34842;174.21,numerical_tolerance
Convert 14.6 cmmHg to µPa. There are 133.32 Pa in one mmHg.,1.9465e+07;97325,numerical_tolerance
Convert 0.0018222 cal to µJ. There are 4.184 J in one cal.,7624.1;38.12,numerical_tolerance
Convert 160.6 mbar to mPa. There are 1e5 Pa in one bar.,1.606e+07;80300,numerical_tolerance
Convert 0.00934 moz to nlb. There are 16 oz in one lb.,583.75;2.9188,numerical_tolerance
Convert 60.95 µmi to mm. There are 1609.3 m in one mi.,98.089;0.49045,numerical_tolerance
Convert 0.00289 MTorr to cmmHg. There are 1 Torr in one mmHg.,2.89e+05;1445,numerical_tolerance
Convert 20.8 Pa to nbar. There are 1e5 Pa in one bar.,2.08e+05;1040,numerical_tolerance
Convert 3.121 min to mday. There are 1440 min in one day.,2.1674;0.010837,numerical_tolerance
Convert 0.438 cJ to mcal. There are 4.184 J in one cal.,1.0468;0.0052342,numerical_tolerance
Convert 134.0 m to mft. There are 3.2808 ft in one m.,4.3963e+05;2198.2,numerical_tolerance
Convert 224.7 cal to mJ. There are 4.184 J in one cal.,9.4014e+05;4700.7,numerical_tolerance
Convert 1.459 µday to nmin. There are 1440 min in one day.,2.101e+06;10505,numerical_tolerance
Convert 0.001791 lb to cg. There are 453.59 g in one lb.,81.238;0.40619,numerical_tolerance
Convert 14.488 mi to µm. There are 1609.3 m in one mi.,2.3316e+10;1.1658e+08,numerical_tolerance
Convert 0.01693 J to ncal. There are 4.184 J in one cal.,4.0464e+06;20232,numerical_tolerance
Convert 3.4482 psi to µbar. There are 14.504 psi in one bar.,2.3775e+05;1188.7,numerical_tolerance
Convert 7.7953 cft to cm. There are 3.2808 ft in one m.,2.376;0.01188,numerical_tolerance
Convert 210.25 kday to Mhr. There are 24 hr in one day.,5.046;0.02523,numerical_tolerance
Convert 2.612 min to ms. There are 60 s in one min.,1.5672e+05;783.6,numerical_tolerance
Convert 820. ft to nmi. There are 5280 ft in one mi.,1.553e+08;7.7652e+05,numerical_tolerance
Convert 465.96 hr to cday. There are 24 hr in one day.,1941.5;9.7075,numerical_tolerance
Convert 34.33 oz to nlb. There are 16 oz in one lb.,2.1456e+09;1.0728e+07,numerical_tolerance
Convert 13.730 Ggal to mL. There are 3.7854 L in one gal.,5.1974e+13;2.5987e+11,numerical_tolerance
Convert 0.19242 mmHg to cPa. There are 133.32 Pa in one mmHg.,2565.4;12.827,numerical_tolerance
Convert 3.582 oz to ng. There are 28.349 g in one oz.,1.0155e+11;5.0774e+08,numerical_tolerance
Convert 129 min to cs. There are 60 s in one min.,7.74e+05;3870,numerical_tolerance
Convert 0.04562 Torr to nbar. There are 750.06 Torr in one bar.,60821;304.11,numerical_tolerance
Convert 0.05913 g to coz. There are 28.349 g in one oz.,0.20858;0.0010429,numerical_tolerance
Convert 0.0010244 J to µcal. There are 4.184 J in one cal.,244.84;1.2242,numerical_tolerance
Convert 0.02820 bar to kPa. There are 1e5 Pa in one bar.,2.82;0.0141,numerical_tolerance
Convert 796.9 J to kcal. There are 4.184 J in one cal.,0.19046;0.00095232,numerical_tolerance
Convert 0.143 g to µoz. There are 28.349 g in one oz.,5044.2;25.221,numerical_tolerance
Convert 0.00300 m to cft. There are 3.2808 ft in one m.,0.98425;0.0049213,numerical_tolerance
Convert 0.2197 atm to µmmHg. There are 760 mmHg in one atm.,1.6697e+08;8.3486e+05,numerical_tolerance
Convert 12.3 µTorr to µatm. There are 760 Torr in one atm.,0.016184;8.0921e-05,numerical_tolerance
Convert 0.1286 J to mcal. There are 4.184 J in one cal.,30.736;0.15368,numerical_tolerance
Convert 0.088905 lb to moz. There are 16 oz in one lb.,1422.5;7.1124,numerical_tolerance
Convert 164.5 day to µhr. There are 24 hr in one day.,3.948e+09;1.974e+07,numerical_tolerance
Convert 34.14 L to mgal. There are 3.7854 L in one gal.,9018.8;45.094,numerical_tolerance
Convert 136 lb to koz. There are 16 oz in one lb.,2.176;0.01088,numerical_tolerance
Convert 41.60 Pa to catm. There are 1.0132e5 Pa in one atm.,0.041056;0.00020528,numerical_tolerance
