question,correct_answers,incorrect_answers,question_type
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7D%28g%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2HCl%28g%29?scale=1.5"" alt=""LaTeX: H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-equation-content=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Ca%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DCa%28OH%29_%7B2%7D%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" data-equation-content=""Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Rb%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2RbOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" data-equation-content=""2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}(g)+2Cl_{2}(g)\leftrightarrows{}2HCl(g)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7D%28g%29%2B2Cl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2HCl%28g%29?scale=1.5"" alt=""LaTeX: H_{2}(g)+2Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-equation-content=""H_{2}(g)+2Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2K(s)+S(s)\leftrightarrows{}K_{2}S(s)"" src=""https://weber.instructure.com/equation_images/2K%28s%29%2BS%28s%29%5Cleftrightarrows%7B%7DK_%7B2%7DS%28s%29?scale=1.5"" alt=""LaTeX: 2K(s)+S(s)\leftrightarrows{}K_{2}S(s)"" data-equation-content=""2K(s)+S(s)\leftrightarrows{}K_{2}S(s)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Fe(s)+5H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" src=""https://weber.instructure.com/equation_images/3Fe%28s%29%2B5H_%7B2%7DO%28g%29%5Cleftrightarrows%7B%7DFe_%7B3%7DO_%7B4%7D%28s%29%2B4H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3Fe(s)+5H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" data-equation-content=""3Fe(s)+5H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}2NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/Na_%7B2%7DCO_%7B3%7D%28aq%29%2B2HCl%28aq%29%5Cleftrightarrows%7B%7D2NaCl%28aq%29%2BH_%7B2%7DO%28l%29%2BCO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}2NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" data-equation-content=""Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}2NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" src=""https://weber.instructure.com/equation_images/2AgNO_%7B3%7D%28aq%29%2BCu%28s%29%5Cleftrightarrows%7B%7DCu%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2B3Ag%28s%29?scale=1.5"" alt=""LaTeX: 2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" data-equation-content=""2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" src=""https://weber.instructure.com/equation_images/BaCl_%7B2%7D%28aq%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DBaSO_%7B4%7D%28s%29%2B2HCl%28aq%29?scale=1.5"" alt=""LaTeX: BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-equation-content=""BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" src=""https://weber.instructure.com/equation_images/3Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2MgO%28s%29?scale=1.5"" alt=""LaTeX: 3Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-equation-content=""3Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2CoCl_{3}(aq)+4Zn(s)\leftrightarrows{}2Co(s)+3ZnCl_{2}(aq)"" src=""https://weber.instructure.com/equation_images/2CoCl_%7B3%7D%28aq%29%2B4Zn%28s%29%5Cleftrightarrows%7B%7D2Co%28s%29%2B3ZnCl_%7B2%7D%28aq%29?scale=1.5"" alt=""LaTeX: 2CoCl_{3}(aq)+4Zn(s)\leftrightarrows{}2Co(s)+3ZnCl_{2}(aq)"" data-equation-content=""2CoCl_{3}(aq)+4Zn(s)\leftrightarrows{}2Co(s)+3ZnCl_{2}(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B2KOH%28aq%29%5Cleftrightarrows%7B%7DK_%7B2%7DSO_%7B4%7D%28aq%29%2B2H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" src=""https://weber.instructure.com/equation_images/3KClO_%7B3%7D%28s%29%5Cleftrightarrows%7B%7D2KCl%28s%29%2B3O_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" data-equation-content=""3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/O_%7B2%7D%28g%29%2B2H_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" data-equation-content=""O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B2LiOH%28aq%29%5Cleftrightarrows%7B%7DLi_%7B2%7DSO_%7B4%7D%28aq%29%2BH_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+2LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Be(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}2Be_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/3Be%28s%29%2B2H_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7D2Be_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3Be(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}2Be_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-equation-content=""3Be(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}2Be_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/Na_%7B2%7DCO_%7B3%7D%28aq%29%2B2HCl%28aq%29%5Cleftrightarrows%7B%7DNaCl%28aq%29%2BH_%7B2%7DO%28l%29%2BCO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" data-equation-content=""Na_{2}CO_{3}(aq)+2HCl(aq)\leftrightarrows{}NaCl(aq)+H_{2}O(l)+CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2KI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-equation-content=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2K%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2KOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-equation-content=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2C%28s%29%2B4RuO%28s%29%5Cleftrightarrows%7B%7D4Ru%28s%29%2B2CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" data-equation-content=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7D%28g%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2HCl%28g%29?scale=1.5"" alt=""LaTeX: H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-equation-content=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Na(s)+2H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Na%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DNaOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Na(s)+2H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" data-equation-content=""2Na(s)+2H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Ca(OH)_{2}(aq)+2CO_{2}(g)\leftrightarrows{}CaCO_{3}(s)+H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/Ca%28OH%29_%7B2%7D%28aq%29%2B2CO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DCaCO_%7B3%7D%28s%29%2BH_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: Ca(OH)_{2}(aq)+2CO_{2}(g)\leftrightarrows{}CaCO_{3}(s)+H_{2}O(l)"" data-equation-content=""Ca(OH)_{2}(aq)+2CO_{2}(g)\leftrightarrows{}CaCO_{3}(s)+H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}2(NH_{4})_{2}SO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/2NH_%7B3%7D%28g%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7D2%28NH_%7B4%7D%29_%7B2%7DSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: 2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}2(NH_{4})_{2}SO_{4}(aq)"" data-equation-content=""2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}2(NH_{4})_{2}SO_{4}(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2C%28s%29%2B4RuO%28s%29%5Cleftrightarrows%7B%7D4Ru%28s%29%2BCO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+CO_{2}(g)"" data-equation-content=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B2KOH%28aq%29%5Cleftrightarrows%7B%7DK_%7B2%7DSO_%7B4%7D%28aq%29%2B2H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+2KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7D%28g%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2HCl%28g%29?scale=1.5"" alt=""LaTeX: H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-equation-content=""H_{2}(g)+Cl_{2}(g)\leftrightarrows{}2HCl(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+2H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2K%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2KOH%28aq%29%2B2H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+2H_{2}(g)"" data-equation-content=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+2H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}3CO_{2}(g)+6H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B2%7DH_%7B6%7D%28g%29%2B7O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D3CO_%7B2%7D%28g%29%2B6H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}3CO_{2}(g)+6H_{2}O(g)"" data-equation-content=""2C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}3CO_{2}(g)+6H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
