question,correct_answers,question_type
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>375.49636 ± 7.37378,375 ± 7;375±7;3.75e2 ± 7e0;3.75e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>954.14629 ± 41.948,950 ± 40;950±40;9.5e2 ± 4e1;9.5e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>639.25710 ± 1.10163,639.3 ± 1.1;639.3±1.1;6.393e2 ± 1.1e0;6.393e2±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>962.83533 ± 100.22,960 ± 1.0e2;960±1.0e2;9.6e2 ± 1.0e2;9.6e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>381.8094 ± 3.8274,382 ± 4;382±4;3.82e2 ± 4e0;3.82e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>401.58714 ± 144.293,4.0e2 ± 140;4.0e2±140;4.0e2 ± 1.4e2;4.0e2±1.4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>550.68995 ± 0.813851,550.7 ± 0.8;550.7±0.8;5.507e2 ± 8e-1;5.507e2±8e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>250.5812 ± 0.59367,250.6 ± 0.6;250.6±0.6;2.506e2 ± 6e-1;2.506e2±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>70.73443 ± 12.0274,71 ± 12;71±12;7.1e1 ± 1.2e1;7.1e1±1.2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>204.7681 ± 0.570646,204.8 ± 0.6;204.8±0.6;2.048e2 ± 6e-1;2.048e2±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>343.40693 ± 33.318,340 ± 30;340±30;3.4e2 ± 3e1;3.4e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>89.61097 ± 14.9831,90. ± 15;90.±15;9.0e1 ± 1.5e1;9.0e1±1.5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>487.89362 ± 52.735,490 ± 50;490±50;4.9e2 ± 5e1;4.9e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>26.909639 ± 0.44542,26.9 ± 0.4;26.9±0.4;2.69e1 ± 4e-1;2.69e1±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>201.6987 ± 6.55363,202 ± 7;202±7;2.02e2 ± 7e0;2.02e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>923.89032 ± 17.013,924 ± 17;924±17;9.24e2 ± 1.7e1;9.24e2±1.7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>584.8285 ± 81.503,580 ± 80;580±80;5.8e2 ± 8e1;5.8e2±8e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>798.7971 ± 184.340,8.0e2 ± 180;8.0e2±180;8.0e2 ± 1.8e2;8.0e2±1.8e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>674.4050 ± 3.37192,674 ± 3;674±3;6.74e2 ± 3e0;6.74e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>764.84956 ± 67.444,760 ± 70;760±70;7.6e2 ± 7e1;7.6e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>991.28488 ± 40.2621,990 ± 40;990±40;9.9e2 ± 4e1;9.9e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>193.59932 ± 11.036,194 ± 11;194±11;1.94e2 ± 1.1e1;1.94e2±1.1e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>443.0985 ± 27.619,440 ± 30;440±30;4.4e2 ± 3e1;4.4e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>228.11387 ± 5.2554,228 ± 5;228±5;2.28e2 ± 5e0;2.28e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>180.94412 ± 2.92286,181 ± 3;181±3;1.81e2 ± 3e0;1.81e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>529.4552 ± 16.686,529 ± 17;529±17;5.29e2 ± 1.7e1;5.29e2±1.7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>830.33701 ± 111.94,830 ± 110;830±110;8.3e2 ± 1.1e2;8.3e2±1.1e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>138.25620 ± 20.0473,140 ± 20;140±20;1.4e2 ± 2e1;1.4e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>887.44331 ± 59.596,890 ± 60;890±60;8.9e2 ± 6e1;8.9e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>11.859857 ± 0.028146,11.86 ± 0.03;11.86±0.03;1.186e1 ± 3e-2;1.186e1±3e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>538.83609 ± 11.3018,539 ± 11;539±11;5.39e2 ± 1.1e1;5.39e2±1.1e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>12.70952 ± 0.62847,12.7 ± 0.6;12.7±0.6;1.27e1 ± 6e-1;1.27e1±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>644.96354 ± 207.500,600 ± 200;600±200;6e2 ± 2e2;6e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>269.3692 ± 63.856,270 ± 60;270±60;2.7e2 ± 6e1;2.7e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>536.39592 ± 38.8912,540 ± 40;540±40;5.4e2 ± 4e1;5.4e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>216.58553 ± 1.7354,216.6 ± 1.7;216.6±1.7;2.166e2 ± 1.7e0;2.166e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>975.94558 ± 257.49,1.0e3 ± 300;1.0e3±300;1.0e3 ± 3e2;1.0e3±3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>182.62850 ± 8.09444,183 ± 8;183±8;1.83e2 ± 8e0;1.83e2±8e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>114.7705 ± 0.378858,114.8 ± 0.4;114.8±0.4;1.148e2 ± 4e-1;1.148e2±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>626.0310 ± 13.767,626 ± 14;626±14;6.26e2 ± 1.4e1;6.26e2±1.4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>66.039784 ± 3.4878,66 ± 3;66±3;6.6e1 ± 3e0;6.6e1±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>47.863864 ± 8.53038,48 ± 9;48±9;4.8e1 ± 9e0;4.8e1±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>705.90846 ± 1.0517,705.9 ± 1.1;705.9±1.1;7.059e2 ± 1.1e0;7.059e2±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>239.9347 ± 103.316,240 ± 1.0e2;240±1.0e2;2.4e2 ± 1.0e2;2.4e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>73.392709 ± 0.359749,73.4 ± 0.4;73.4±0.4;7.34e1 ± 4e-1;7.34e1±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>822.25169 ± 1.48873,822.3 ± 1.5;822.3±1.5;8.223e2 ± 1.5e0;8.223e2±1.5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>68.382891 ± 0.11779,68.38 ± 0.12;68.38±0.12;6.838e1 ± 1.2e-1;6.838e1±1.2e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>351.4319 ± 31.087,350 ± 30;350±30;3.5e2 ± 3e1;3.5e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>854.34179 ± 6.4358,854 ± 6;854±6;8.54e2 ± 6e0;8.54e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>172.2080 ± 39.5282,170 ± 40;170±40;1.7e2 ± 4e1;1.7e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>871.46689 ± 32.994,870 ± 30;870±30;8.7e2 ± 3e1;8.7e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>218.36533 ± 0.252426,218.4 ± 0.3;218.4±0.3;2.184e2 ± 3e-1;2.184e2±3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>570.89679 ± 1.36794,570.9 ± 1.4;570.9±1.4;5.709e2 ± 1.4e0;5.709e2±1.4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>563.95533 ± 124.08,560 ± 120;560±120;5.6e2 ± 1.2e2;5.6e2±1.2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>998.80472 ± 359.04,1.0e3 ± 400;1.0e3±400;1.0e3 ± 4e2;1.0e3±4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>466.4997 ± 65.235,470 ± 70;470±70;4.7e2 ± 7e1;4.7e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>202.34788 ± 6.2588,202 ± 6;202±6;2.02e2 ± 6e0;2.02e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>294.0063 ± 3.2832,294 ± 3;294±3;2.94e2 ± 3e0;2.94e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>508.4555 ± 21.3197,510 ± 20;510±20;5.1e2 ± 2e1;5.1e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>836.28218 ± 335.58,800 ± 300;800±300;8e2 ± 3e2;8e2±3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>513.3809 ± 0.825233,513.4 ± 0.8;513.4±0.8;5.134e2 ± 8e-1;5.134e2±8e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>756.6065 ± 6.4266,757 ± 6;757±6;7.57e2 ± 6e0;7.57e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>103.4806 ± 2.44153,103 ± 2;103±2;1.03e2 ± 2e0;1.03e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>189.47861 ± 2.98793,189 ± 3;189±3;1.89e2 ± 3e0;1.89e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>925.8810 ± 52.3928,930 ± 50;930±50;9.3e2 ± 5e1;9.3e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>904.81853 ± 15.065,905 ± 15;905±15;9.05e2 ± 1.5e1;9.05e2±1.5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>365.5478 ± 5.6650,366 ± 6;366±6;3.66e2 ± 6e0;3.66e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>512.47317 ± 3.50459,512 ± 4;512±4;5.12e2 ± 4e0;5.12e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>644.6800 ± 34.5107,640 ± 30;640±30;6.4e2 ± 3e1;6.4e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>165.2439 ± 11.683,165 ± 12;165±12;1.65e2 ± 1.2e1;1.65e2±1.2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>932.4294 ± 32.438,930 ± 30;930±30;9.3e2 ± 3e1;9.3e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>430.3434 ± 4.17825,430. ± 4;430.±4;4.30e2 ± 4e0;4.30e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>782.21360 ± 7.41199,782 ± 7;782±7;7.82e2 ± 7e0;7.82e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>410.8290 ± 8.6512,411 ± 9;411±9;4.11e2 ± 9e0;4.11e2±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>799.6891 ± 1.65737,799.7 ± 1.7;799.7±1.7;7.997e2 ± 1.7e0;7.997e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>222.6061 ± 31.619,220 ± 30;220±30;2.2e2 ± 3e1;2.2e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>982.7400 ± 183.811,980 ± 180;980±180;9.8e2 ± 1.8e2;9.8e2±1.8e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>798.9907 ± 3.99099,799 ± 4;799±4;7.99e2 ± 4e0;7.99e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>314.6638 ± 13.545,315 ± 14;315±14;3.15e2 ± 1.4e1;3.15e2±1.4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>260.37024 ± 104.50,260 ± 1.0e2;260±1.0e2;2.6e2 ± 1.0e2;2.6e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>828.11845 ± 408.05,800 ± 400;800±400;8e2 ± 4e2;8e2±4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>129.03361 ± 0.94936,129.0 ± 0.9;129.0±0.9;1.290e2 ± 9e-1;1.290e2±9e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>68.38123 ± 11.873,68 ± 12;68±12;6.8e1 ± 1.2e1;6.8e1±1.2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>23.18326 ± 0.87954,23.2 ± 0.9;23.2±0.9;2.32e1 ± 9e-1;2.32e1±9e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>711.88426 ± 2.38627,712 ± 2;712±2;7.12e2 ± 2e0;7.12e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>964.8499 ± 39.2600,960 ± 40;960±40;9.6e2 ± 4e1;9.6e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>418.68947 ± 2.1123,419 ± 2;419±2;4.19e2 ± 2e0;4.19e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>209.54883 ± 95.0131,210 ± 1.0e2;210±1.0e2;2.1e2 ± 1.0e2;2.1e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>716.42498 ± 1.10129,716.4 ± 1.1;716.4±1.1;7.164e2 ± 1.1e0;7.164e2±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>430.24038 ± 56.033,430 ± 60;430±60;4.3e2 ± 6e1;4.3e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>337.06223 ± 3.28246,337 ± 3;337±3;3.37e2 ± 3e0;3.37e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>457.6869 ± 12.900,458 ± 13;458±13;4.58e2 ± 1.3e1;4.58e2±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>769.9814 ± 96.408,770 ± 1.0e2;770±1.0e2;7.7e2 ± 1.0e2;7.7e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>658.8104 ± 7.2384,659 ± 7;659±7;6.59e2 ± 7e0;6.59e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>305.0582 ± 17.5480,305 ± 18;305±18;3.05e2 ± 1.8e1;3.05e2±1.8e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>841.9235 ± 17.337,842 ± 17;842±17;8.42e2 ± 1.7e1;8.42e2±1.7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>481.7687 ± 15.552,482 ± 16;482±16;4.82e2 ± 1.6e1;4.82e2±1.6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>146.94535 ± 1.92979,146.9 ± 1.9;146.9±1.9;1.469e2 ± 1.9e0;1.469e2±1.9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>219.5702 ± 0.79136,219.6 ± 0.8;219.6±0.8;2.196e2 ± 8e-1;2.196e2±8e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>484.18826 ± 6.6194,484 ± 7;484±7;4.84e2 ± 7e0;4.84e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>263.0489 ± 34.5084,260 ± 30;260±30;2.6e2 ± 3e1;2.6e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>323.59455 ± 14.946,324 ± 15;324±15;3.24e2 ± 1.5e1;3.24e2±1.5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>343.8404 ± 2.9267,344 ± 3;344±3;3.44e2 ± 3e0;3.44e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>438.9863 ± 28.642,440 ± 30;440±30;4.4e2 ± 3e1;4.4e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>862.85218 ± 13.070,863 ± 13;863±13;8.63e2 ± 1.3e1;8.63e2±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>504.86236 ± 2.5299,505 ± 3;505±3;5.05e2 ± 3e0;5.05e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>308.22059 ± 12.697,308 ± 13;308±13;3.08e2 ± 1.3e1;3.08e2±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>656.1513 ± 52.2438,660 ± 50;660±50;6.6e2 ± 5e1;6.6e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>363.3423 ± 0.425281,363.3 ± 0.4;363.3±0.4;3.633e2 ± 4e-1;3.633e2±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>76.749011 ± 3.3052,77 ± 3;77±3;7.7e1 ± 3e0;7.7e1±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>818.43868 ± 33.812,820 ± 30;820±30;8.2e2 ± 3e1;8.2e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>446.61266 ± 66.5942,450 ± 70;450±70;4.5e2 ± 7e1;4.5e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>263.55408 ± 1.65453,263.6 ± 1.7;263.6±1.7;2.636e2 ± 1.7e0;2.636e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>940.57081 ± 2.12546,941 ± 2;941±2;9.41e2 ± 2e0;9.41e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>124.5232 ± 6.5290,125 ± 7;125±7;1.25e2 ± 7e0;1.25e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>356.0156 ± 9.70472,356 ± 10.;356±10.;3.56e2 ± 1.0e1;3.56e2±1.0e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>174.29037 ± 7.2844,174 ± 7;174±7;1.74e2 ± 7e0;1.74e2±7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>289.99089 ± 3.41549,290. ± 3;290.±3;2.90e2 ± 3e0;2.90e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>21.208451 ± 1.0743,21.2 ± 1.1;21.2±1.1;2.12e1 ± 1.1e0;2.12e1±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>154.0739 ± 10.1673,154 ± 10.;154±10.;1.54e2 ± 1.0e1;1.54e2±1.0e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>806.91989 ± 5.0329,807 ± 5;807±5;8.07e2 ± 5e0;8.07e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>28.940339 ± 12.660,29 ± 13;29±13;2.9e1 ± 1.3e1;2.9e1±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>923.5843 ± 134.905,920 ± 130;920±130;9.2e2 ± 1.3e2;9.2e2±1.3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>733.94174 ± 69.163,730 ± 70;730±70;7.3e2 ± 7e1;7.3e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>63.142642 ± 8.12558,63 ± 8;63±8;6.3e1 ± 8e0;6.3e1±8e0,short_answer
