question,correct_answers,question_type
"Calculate the 99.9 % confidence interval for the following measurement.<br>3.7 ± 0.4 K, n = 10<br>Use the ± symbol in your answer.",3.7 ± 0.6;3.7±0.6;3.7e0 ± 6e-1;3.7e0±6e-1,short_answer
"Does the following measurement agree with the known value of 0.087 W at the 90 % confidence level?<br>0.085 ± 0.006 W, n = 25",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 25 h at the 95 % confidence level?<br>27 ± 5 h, n = 9",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 4300 Torr at the 95 % confidence level?<br>4.5e3 ± 1.1e3 Torr, n = 60",Yes;yes;Y;y,short_answer
"Is the value 7.3 kg in the 90 % confidence interval for the following measurement?<br>6.5 ± 0.4 kg, n = 3",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.9e3 ± 9e2 bar, n = 3<br>Use the ± symbol in your answer.",3000 ± 2000;3000±2000;3e3 ± 2e3;3e3±2e3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.06 ± 0.02 mL, n = 4<br>Use the ± symbol in your answer.",0.06 ± 0.03;0.06±0.03;6e-2 ± 3e-2;6e-2±3e-2,short_answer
"Is the value 2.1 nm in the 90 % confidence interval for the following measurement?<br>1.6 ± 0.7 nm, n = 15",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>5 ± 2 J, n = 10<br>Use the ± symbol in your answer.",5.0 ± 1.4;5.0±1.4;5.0e0 ± 1.4e0;5.0e0±1.4e0,short_answer
"Does the following measurement agree with the known value of 5.8 M at the 95 % confidence level?<br>4.8 ± 1.0 M, n = 6",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.029 ± 0.005 N, n = 60<br>Use the ± symbol in your answer.",0.029 ± 0.002;0.029±0.002;2.9e-2 ± 2e-3;2.9e-2±2e-3,short_answer
"Is the value 0.9 mA in the 50 % confidence interval for the following measurement?<br>1.0 ± 0.4 mA, n = 20",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.6e3 ± 9e2 atm, n = 10<br>Use the ± symbol in your answer.",2600 ± 500;2600±500;2.6e3 ± 5e2;2.6e3±5e2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.052 ± 0.009 mL, n = 4<br>Use the ± symbol in your answer.",0.05 ± 0.03;0.05±0.03;5e-2 ± 3e-2;5e-2±3e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.12 ± 0.06 W, n = 60<br>Use the ± symbol in your answer.",0.12 ± 0.03;0.12±0.03;1.2e-1 ± 3e-2;1.2e-1±3e-2,short_answer
"Is the value 600 kJ in the 99.9 % confidence interval for the following measurement?<br>500 ± 200 kJ, n = 30",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>10. ± 2 mA, n = 5<br>Use the ± symbol in your answer.",10. ± 2;10.±2;1.0e1 ± 2e0;1.0e1±2e0,short_answer
"Is the value -1000 mol in the 99.9 % confidence interval for the following measurement?<br>10. ± 3 mol, n = 1",Yes;yes;Y;y,short_answer
"Is the value 2.1 M in the 99 % confidence interval for the following measurement?<br>2.5 ± 0.6 M, n = 30",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0e0 g at the 99 % confidence level?<br>40 ± 20 g, n = 4",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.66 mbar at the 90 % confidence level?<br>0.63 ± 0.13 mbar, n = 40",No;no;N;n,short_answer
"Is the value 154 mM in the 99.9 % confidence interval for the following measurement?<br>151 ± 2 mM, n = 10",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.8 Torr at the 95 % confidence level?<br>0.6 ± 0.2 Torr, n = 7",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 6 mL at the 90 % confidence level?<br>6 ± 3 mL, n = 120",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>3.3 ± 1.1 mmHg, n = 3<br>Use the ± symbol in your answer.",0e0 ± 20;0e0±20;0e0 ± 2e1;0e0±2e1,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.06 ± 0.02 mA, n = 120<br>Use the ± symbol in your answer.",0.060 ± 0.006;0.060±0.006;6.0e-2 ± 6e-3;6.0e-2±6e-3,short_answer
"Does the following measurement agree with the known value of 0.24 g at the 99.9 % confidence level?<br>0.29 ± 0.03 g, n = 10",No;no;N;n,short_answer
"Is the value 0.39 kV in the 99 % confidence interval for the following measurement?<br>0.56 ± 0.12 kV, n = 10",No;no;N;n,short_answer
"Is the value 1.1 h in the 99 % confidence interval for the following measurement?<br>1.0 ± 0.2 h, n = 30",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 280 M at the 99.9 % confidence level?<br>260 ± 50 M, n = 60",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.045 ± 0.005 W, n = 7<br>Use the ± symbol in your answer.",0.045 ± 0.007;0.045±0.007;4.5e-2 ± 7e-3;4.5e-2±7e-3,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.8 ± 0.2 mmHg, n = 4<br>Use the ± symbol in your answer.",0.8 ± 0.2;0.8±0.2;8e-1 ± 2e-1;8e-1±2e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>60 ± 30 kJ, n = 25<br>Use the ± symbol in your answer.",60. ± 4;60.±4;6.0e1 ± 4e0;6.0e1±4e0,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>40 ± 20 A, n = 8<br>Use the ± symbol in your answer.",40 ± 20;40±20;4e1 ± 2e1;4e1±2e1,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>110 ± 30 m, n = 8<br>Use the ± symbol in your answer.",110 ± 30;110±30;1.1e2 ± 3e1;1.1e2±3e1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>60 ± 30 mbar, n = 120<br>Use the ± symbol in your answer.",60. ± 7;60.±7;6.0e1 ± 7e0;6.0e1±7e0,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.17 ± 0.02 atm, n = 3<br>Use the ± symbol in your answer.",0.2 ± 0.4;0.2±0.4;2e-1 ± 4e-1;2e-1±4e-1,short_answer
"Is the value 38 W in the 99 % confidence interval for the following measurement?<br>30. ± 10. W, n = 25",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.4 ± 0.8 kg, n = 4<br>Use the ± symbol in your answer.",2.4 ± 0.9;2.4±0.9;2.4e0 ± 9e-1;2.4e0±9e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>3.6e3 ± 6e2 Pa, n = 9<br>Use the ± symbol in your answer.",3600 ± 700;3600±700;3.6e3 ± 7e2;3.6e3±7e2,short_answer
"Does the following measurement agree with the known value of 3.6 atm at the 50 % confidence level?<br>3.8 ± 0.9 atm, n = 8",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 13 g at the 99.9 % confidence level?<br>11 ± 5 g, n = 120",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.4e3 ± 4e2 kg, n = 10<br>Use the ± symbol in your answer.",1400 ± 400;1400±400;1.4e3 ± 4e2;1.4e3±4e2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>6.2 ± 1.4 bar, n = 7<br>Use the ± symbol in your answer.",6.2 ± 1.0;6.2±1.0;6.2e0 ± 1.0e0;6.2e0±1.0e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.14 ± 0.04 mA, n = 2<br>Use the ± symbol in your answer.",0.14 ± 0.03;0.14±0.03;1.4e-1 ± 3e-2;1.4e-1±3e-2,short_answer
"Is the value 0.05 km in the 99.9 % confidence interval for the following measurement?<br>0.013 ± 0.003 km, n = 3",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 76 cal at the 95 % confidence level?<br>83 ± 3 cal, n = 4",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.26 mM at the 99 % confidence level?<br>0.30 ± 0.03 mM, n = 8",No;no;N;n,short_answer
"Is the value 330 km in the 99.9 % confidence interval for the following measurement?<br>340 ± 20 km, n = 120",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 59 bar at the 95 % confidence level?<br>49 ± 12 bar, n = 9",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>1.1 ± 0.2 Hz, n = 15<br>Use the ± symbol in your answer.",1.10 ± 0.09;1.10±0.09;1.10e0 ± 9e-2;1.10e0±9e-2,short_answer
"Is the value 140 kV in the 90 % confidence interval for the following measurement?<br>160 ± 40 kV, n = 10",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>1.2 ± 0.4 cal, n = 20<br>Use the ± symbol in your answer.",1.2 ± 0.2;1.2±0.2;1.2e0 ± 2e-1;1.2e0±2e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>400 ± 200 g, n = 6<br>Use the ± symbol in your answer.",400 ± 300;400±300;4e2 ± 3e2;4e2±3e2,short_answer
"Does the following measurement agree with the known value of 0.35 M at the 50 % confidence level?<br>0.36 ± 0.15 M, n = 60",Yes;yes;Y;y,short_answer
"Is the value 1.8 mL in the 50 % confidence interval for the following measurement?<br>1.7 ± 0.4 mL, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>1.0 ± 0.4 V, n = 15<br>Use the ± symbol in your answer.",1.0 ± 0.2;1.0±0.2;1.0e0 ± 2e-1;1.0e0±2e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.05 ± 0.02 kJ, n = 3<br>Use the ± symbol in your answer.",0.05 ± 0.03;0.05±0.03;5e-2 ± 3e-2;5e-2±3e-2,short_answer
"Does the following measurement agree with the known value of 7000 kPa at the 99.9 % confidence level?<br>1.0e4 ± 4e3 kPa, n = 40",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>6e3 ± 3e3 Torr, n = 6<br>Use the ± symbol in your answer.",6000 ± 3000;6000±3000;6e3 ± 3e3;6e3±3e3,short_answer
"Does the following measurement agree with the known value of 0.025 mol at the 99 % confidence level?<br>0.027 ± 0.004 mol, n = 25",No;no;N;n,short_answer
"Is the value 810 km in the 50 % confidence interval for the following measurement?<br>810 ± 30 km, n = 7",Yes;yes;Y;y,short_answer
"Is the value 0.11 yr in the 99.9 % confidence interval for the following measurement?<br>0.07 ± 0.02 yr, n = 7",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.7 ± 0.3 yr, n = 4<br>Use the ± symbol in your answer.",1 ± 2;1±2;1e0 ± 2e0;1e0±2e0,short_answer
"Does the following measurement agree with the known value of 12.2 h at the 95 % confidence level?<br>11.6 ± 1.0 h, n = 9",Yes;yes;Y;y,short_answer
"Is the value 190 mM in the 50 % confidence interval for the following measurement?<br>180 ± 40 mM, n = 5",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>2.1 ± 0.3 km, n = 2<br>Use the ± symbol in your answer.",2 ± 3;2±3;2e0 ± 3e0;2e0±3e0,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>8e3 ± 2e3 kV, n = 40<br>Use the ± symbol in your answer.",8.0e3 ± 600;8.0e3±600;8.0e3 ± 6e2;8.0e3±6e2,short_answer
"Does the following measurement agree with the known value of 22 mA at the 99.9 % confidence level?<br>17 ± 4 mA, n = 7",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>2.0e2 ± 60 mbar, n = 8<br>Use the ± symbol in your answer.",2.0e2 ± 110;2.0e2±110;2.0e2 ± 1.1e2;2.0e2±1.1e2,short_answer
"Does the following measurement agree with the known value of 230 L at the 95 % confidence level?<br>220 ± 20 L, n = 60",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 6.9 kcal at the 95 % confidence level?<br>6.5 ± 0.9 kcal, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>19.6 ± 0.5 kg, n = 40<br>Use the ± symbol in your answer.",19.6 ± 0.2;19.6±0.2;1.96e1 ± 2e-1;1.96e1±2e-1,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.11 ± 0.02 m, n = 60<br>Use the ± symbol in your answer.",0.110 ± 0.005;0.110±0.005;1.10e-1 ± 5e-3;1.10e-1±5e-3,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.07 ± 0.03 m, n = 8<br>Use the ± symbol in your answer.",0.07 ± 0.04;0.07±0.04;7e-2 ± 4e-2;7e-2±4e-2,short_answer
"Does the following measurement agree with the known value of 0.054 mbar at the 99.9 % confidence level?<br>0.055 ± 0.003 mbar, n = 30",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.020 ± 0.006 W, n = 25<br>Use the ± symbol in your answer.",0.020 ± 0.002;0.020±0.002;2.0e-2 ± 2e-3;2.0e-2±2e-3,short_answer
"Does the following measurement agree with the known value of 3.5 nm at the 90 % confidence level?<br>3.8 ± 0.9 nm, n = 25",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>34 ± 7 M, n = 7<br>Use the ± symbol in your answer.",34 ± 2;34±2;3.4e1 ± 2e0;3.4e1±2e0,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>3.4e3 ± 8e2 cal, n = 2<br>Use the ± symbol in your answer.",0e0 ± 400000;0e0±400000;0e0 ± 4e5;0e0±4e5,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.220 ± 0.004 nm, n = 5<br>Use the ± symbol in your answer.",0.22 ± 0.02;0.22±0.02;2.2e-1 ± 2e-2;2.2e-1±2e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>310 ± 20 mbar, n = 9<br>Use the ± symbol in your answer.",310 ± 20;310±20;3.1e2 ± 2e1;3.1e2±2e1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>11 ± 4 bar, n = 9<br>Use the ± symbol in your answer.",11 ± 4;11±4;1.1e1 ± 4e0;1.1e1±4e0,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.052 ± 0.013 W, n = 20<br>Use the ± symbol in your answer.",0.052 ± 0.008;0.052±0.008;5.2e-2 ± 8e-3;5.2e-2±8e-3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>700 ± 200 bar, n = 9<br>Use the ± symbol in your answer.",700 ± 200;700±200;7e2 ± 2e2;7e2±2e2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.011 ± 0.004 ns, n = 9<br>Use the ± symbol in your answer.",0.011 ± 0.002;0.011±0.002;1.1e-2 ± 2e-3;1.1e-2±2e-3,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>18 ± 3 Torr, n = 25<br>Use the ± symbol in your answer.",18 ± 2;18±2;1.8e1 ± 2e0;1.8e1±2e0,short_answer
"Does the following measurement agree with the known value of 5.5 kPa at the 99 % confidence level?<br>5.3 ± 0.3 kPa, n = 30",No;no;N;n,short_answer
"Is the value 2 h in the 99 % confidence interval for the following measurement?<br>3.5 ± 1.3 h, n = 25",No;no;N;n,short_answer
"Is the value 2700 mM in the 99 % confidence interval for the following measurement?<br>4.0e3 ± 4e2 mM, n = 4",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.47 ± 0.06 kcal, n = 20<br>Use the ± symbol in your answer.",0.47 ± 0.04;0.47±0.04;4.7e-1 ± 4e-2;4.7e-1±4e-2,short_answer
"Is the value 6000 nm in the 99.9 % confidence interval for the following measurement?<br>5e3 ± 2e3 nm, n = 60",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.0350 bar at the 50 % confidence level?<br>0.0349 ± 0.0004 bar, n = 10",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 6 mol at the 95 % confidence level?<br>5 ± 2 mol, n = 20",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>4.9 ± 1.2 g, n = 6<br>Use the ± symbol in your answer.",5 ± 2;5±2;5e0 ± 2e0;5e0±2e0,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>9e3 ± 2e3 mmHg, n = 6<br>Use the ± symbol in your answer.",9000 ± 2000;9000±2000;9e3 ± 2e3;9e3±2e3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.4e3 ± 4e2 Hz, n = 120<br>Use the ± symbol in your answer.",1.40e3 ± 20;1.40e3±20;1.40e3 ± 2e1;1.40e3±2e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.013 ± 0.003 M, n = 120<br>Use the ± symbol in your answer.",0.0130 ± 0.0002;0.0130±0.0002;1.30e-2 ± 2e-4;1.30e-2±2e-4,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>720 ± 60 ns, n = 10<br>Use the ± symbol in your answer.",720 ± 90;720±90;7.2e2 ± 9e1;7.2e2±9e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.28 ± 0.03 mL, n = 25<br>Use the ± symbol in your answer.",0.280 ± 0.004;0.280±0.004;2.80e-1 ± 4e-3;2.80e-1±4e-3,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.7 ± 0.3 mM, n = 120<br>Use the ± symbol in your answer.",0.70 ± 0.05;0.70±0.05;7.0e-1 ± 5e-2;7.0e-1±5e-2,short_answer
"Does the following measurement agree with the known value of 160 Hz at the 95 % confidence level?<br>210 ± 50 Hz, n = 4",Yes;yes;Y;y,short_answer
"Is the value 60 kcal in the 90 % confidence interval for the following measurement?<br>13 ± 6 kcal, n = 1",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.12 ± 0.03 mA, n = 15<br>Use the ± symbol in your answer.",0.120 ± 0.005;0.120±0.005;1.20e-1 ± 5e-3;1.20e-1±5e-3,short_answer
"Is the value 3.6 kg in the 50 % confidence interval for the following measurement?<br>3.2 ± 1.4 kg, n = 6",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>63 ± 10. L, n = 1<br>Use the ± symbol in your answer.",60 ± 130;60±130;6e1 ± 1.3e2;6e1±1.3e2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.011 ± 0.003 kV, n = 6<br>Use the ± symbol in your answer.",0.011 ± 0.003;0.011±0.003;1.1e-2 ± 3e-3;1.1e-2±3e-3,short_answer
"Is the value 410 km in the 99.9 % confidence interval for the following measurement?<br>230 ± 80 km, n = 10",No;no;N;n,short_answer
"Is the value 0.2 bar in the 99.9 % confidence interval for the following measurement?<br>0.0112 ± 0.0005 bar, n = 2",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.89e3 ± 3e1 ns, n = 4<br>Use the ± symbol in your answer.",2890 ± 40;2890±40;2.89e3 ± 4e1;2.89e3±4e1,short_answer
"Does the following measurement agree with the known value of 1.7 km at the 99.9 % confidence level?<br>2.2 ± 0.6 km, n = 40",No;no;N;n,short_answer
"Is the value 1.38 M in the 90 % confidence interval for the following measurement?<br>1.40 ± 0.03 M, n = 9",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>8e3 ± 3e3 L, n = 5<br>Use the ± symbol in your answer.",8000 ± 12000;8000±12000;8e3 ± 1.2e4;8e3±1.2e4,short_answer
"Does the following measurement agree with the known value of 400 ns at the 90 % confidence level?<br>170 ± 70 ns, n = 2",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>35 ± 11 cal, n = 7<br>Use the ± symbol in your answer.",35 ± 3;35±3;3.5e1 ± 3e0;3.5e1±3e0,short_answer
"Is the value 12 mbar in the 90 % confidence interval for the following measurement?<br>5.4 ± 1.4 mbar, n = 2",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.0119 ± 0.0011 L, n = 40<br>Use the ± symbol in your answer.",0.0119 ± 0.0004;0.0119±0.0004;1.19e-2 ± 4e-4;1.19e-2±4e-4,short_answer
"Does the following measurement agree with the known value of 0.5 kg at the 50 % confidence level?<br>0.6 ± 0.3 kg, n = 3",Yes;yes;Y;y,short_answer
"Is the value 1.6 kcal in the 95 % confidence interval for the following measurement?<br>1.9 ± 0.4 kcal, n = 15",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>210 ± 80 kg, n = 40<br>Use the ± symbol in your answer.",210 ± 30;210±30;2.1e2 ± 3e1;2.1e2±3e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>10.6 ± 0.4 km, n = 5<br>Use the ± symbol in your answer.",10.60 ± 0.13;10.60±0.13;1.060e1 ± 1.3e-1;1.060e1±1.3e-1,short_answer
"Is the value 0.0184 ms in the 50 % confidence interval for the following measurement?<br>0.0190 ± 0.0010 ms, n = 2",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 18 mbar at the 95 % confidence level?<br>16 ± 5 mbar, n = 25",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.07 ± 0.02 kPa, n = 25<br>Use the ± symbol in your answer.",0.070 ± 0.003;0.070±0.003;7.0e-2 ± 3e-3;7.0e-2±3e-3,short_answer
"Is the value 0.05 mol in the 50 % confidence interval for the following measurement?<br>0.037 ± 0.012 mol, n = 2",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 14 mA at the 50 % confidence level?<br>14 ± 3 mA, n = 30",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 500 kg at the 50 % confidence level?<br>500 ± 200 kg, n = 60",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>2.4e3 ± 8e2 mL, n = 6<br>Use the ± symbol in your answer.",2400 ± 800;2400±800;2.4e3 ± 8e2;2.4e3±8e2,short_answer
"Is the value 270 s in the 50 % confidence interval for the following measurement?<br>270 ± 20 s, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>60 ± 20 Hz, n = 2<br>Use the ± symbol in your answer.",0e0 ± 9000;0e0±9000;0e0 ± 9e3;0e0±9e3,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.156 ± 0.006 K, n = 30<br>Use the ± symbol in your answer.",0.156 ± 0.002;0.156±0.002;1.56e-1 ± 2e-3;1.56e-1±2e-3,short_answer
"Does the following measurement agree with the known value of 700 atm at the 95 % confidence level?<br>800 ± 400 atm, n = 60",No;no;N;n,short_answer
"Is the value 1.0e3 cal in the 99 % confidence interval for the following measurement?<br>600 ± 300 cal, n = 7",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.3 ± 0.5 kg, n = 30<br>Use the ± symbol in your answer.",1.30 ± 0.06;1.30±0.06;1.30e0 ± 6e-2;1.30e0±6e-2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.032 ± 0.014 bar, n = 2<br>Use the ± symbol in your answer.",0.03 ± 0.06;0.03±0.06;3e-2 ± 6e-2;3e-2±6e-2,short_answer
"Is the value 120 N in the 50 % confidence interval for the following measurement?<br>170 ± 80 N, n = 2",Yes;yes;Y;y,short_answer
