question,correct_answers,question_type
"Calculate the true mass of a sample whose density is 1.407 g cm-3 and whose displayed mass is 4.0581 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 299 K<br>P = 1080 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.0611;4.0611e0;4.0611E0,short_answer
"Calculate the true mass of a sample whose density is 1.2 g cm-3 and whose displayed mass is 4.2651 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 1010 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.269;4.269e0;4.269E0,short_answer
"Calculate the true mass of a sample whose density is 2.82 g cm-3 and whose displayed mass is 1.5275 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 813 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.5278;1.5278e0;1.5278E0,short_answer
"Calculate the true mass of a sample whose density is 0.9218 g cm-3 and whose displayed mass is 1.9257 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 1033 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.9280;1.9280e0;1.9280E0,short_answer
"Calculate the true mass of a sample whose density is 3.8 g cm-3 and whose displayed mass is 3.0381 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 1071 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.0386;3.0386e0;3.0386E0,short_answer
"Calculate the true mass of a sample whose density is 2.46 g cm-3 and whose displayed mass is 4.7572 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 858.0 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.7586;4.7586e0;4.7586E0,short_answer
"Calculate the true mass of a sample whose density is 1.5 g cm-3 and whose displayed mass is 1.7917 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 300. K<br>P = 948.9 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.7928;1.7928e0;1.7928E0,short_answer
"Calculate the true mass of a sample whose density is 2.398 g cm-3 and whose displayed mass is 2.5798 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 293 K<br>P = 791 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.5805;2.5805e0;2.5805E0,short_answer
"Calculate the true mass of a sample whose density is 1.38 g cm-3 and whose displayed mass is 1.5272 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 298 K<br>P = 719.9 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.5280;1.5280e0;1.5280E0,short_answer
"Calculate the true mass of a sample whose density is 2.7 g cm-3 and whose displayed mass is 3.8699 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 1040 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.8711;3.8711e0;3.8711E0,short_answer
"Calculate the true mass of a sample whose density is 2.280 g cm-3 and whose displayed mass is 4.2879 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 300. K<br>P = 1107 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.2897;4.2897e0;4.2897E0,short_answer
"Calculate the true mass of a sample whose density is 1.346 g cm-3 and whose displayed mass is 4.3607 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 752.4 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.3631;4.3631e0;4.3631E0,short_answer
"Calculate the true mass of a sample whose density is 3.9 g cm-3 and whose displayed mass is 2.1810 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 709.1 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.1812;2.1812e0;2.1812E0,short_answer
"Calculate the true mass of a sample whose density is 0.989 g cm-3 and whose displayed mass is 2.8276 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 294 K<br>P = 1090 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.8309;2.8309e0;2.8309E0,short_answer
"Calculate the true mass of a sample whose density is 1.87 g cm-3 and whose displayed mass is 4.6713 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 898.2 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.6733;4.6733e0;4.6733E0,short_answer
"Calculate the true mass of a sample whose density is 3.848 g cm-3 and whose displayed mass is 3.6338 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 1153 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.6345;3.6345e0;3.6345E0,short_answer
"Calculate the true mass of a sample whose density is 2.016 g cm-3 and whose displayed mass is 2.1415 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 294 K<br>P = 737 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.1422;2.1422e0;2.1422E0,short_answer
"Calculate the true mass of a sample whose density is 2.6 g cm-3 and whose displayed mass is 4.0624 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 298 K<br>P = 812.6 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.0634;4.0634e0;4.0634E0,short_answer
"Calculate the true mass of a sample whose density is 1.188 g cm-3 and whose displayed mass is 4.7142 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 294 K<br>P = 840. mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.7176;4.7176e0;4.7176E0,short_answer
"Calculate the true mass of a sample whose density is 1.58 g cm-3 and whose displayed mass is 3.4343 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 1120 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.4366;3.4366e0;3.4366E0,short_answer
"Calculate the true mass of a sample whose density is 1.2 g cm-3 and whose displayed mass is 2.0158 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 737 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.0171;2.0171e0;2.0171E0,short_answer
"Calculate the true mass of a sample whose density is 3.84 g cm-3 and whose displayed mass is 2.4804 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 298 K<br>P = 831.5 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.4807;2.4807e0;2.4807E0,short_answer
"Calculate the true mass of a sample whose density is 1.536 g cm-3 and whose displayed mass is 1.0305 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 1080 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.0312;1.0312e0;1.0312E0,short_answer
"Calculate the true mass of a sample whose density is 2.3 g cm-3 and whose displayed mass is 4.1752 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 297 K<br>P = 907 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.1766;4.1766e0;4.1766E0,short_answer
"Calculate the true mass of a sample whose density is 1.580 g cm-3 and whose displayed mass is 3.2269 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 299 K<br>P = 922.8 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.2287;3.2287e0;3.2287E0,short_answer
"Calculate the true mass of a sample whose density is 1.38 g cm-3 and whose displayed mass is 1.7413 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 294 K<br>P = 1164 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.7428;1.7428e0;1.7428E0,short_answer
"Calculate the true mass of a sample whose density is 1.21 g cm-3 and whose displayed mass is 1.2306 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 298 K<br>P = 1060 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.2317;1.2317e0;1.2317E0,short_answer
"Calculate the true mass of a sample whose density is 1.711 g cm-3 and whose displayed mass is 2.4663 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 293 K<br>P = 1002 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.4677;2.4677e0;2.4677E0,short_answer
"Calculate the true mass of a sample whose density is 1.065 g cm-3 and whose displayed mass is 4.8112 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 937.9 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.8156;4.8156e0;4.8156E0,short_answer
